,Player Link,Player Name,Season,Position,nationality
163,https://www.premierleague.com/players/75201/Shea-Charles/overview,Shea Charles,2021/22,Defender,Northern Ireland
164,https://www.premierleague.com/players/65849/Kgaogelo-Chauke/overview,Kgaogelo Chauke,2021/22,Midfielder,England
165,https://www.premierleague.com/players/30534/Daniel-Chesters/overview,Daniel Chesters,2021/22,Midfielder,England
166,https://www.premierleague.com/players/13491/Ben-Chilwell/overview,Ben Chilwell,2021/22,Defender,England
167,https://www.premierleague.com/players/122388/Chiquinho/overview,Chiquinho,2021/22,Forward,Portugal
168,https://www.premierleague.com/players/13248/Hamza-Choudhury/overview,Hamza Choudhury,2021/22,Midfielder,England
169,https://www.premierleague.com/players/69747/Benjamin-Chrisene/overview,Benjamin Chrisene,2021/22,Midfielder,England
170,https://www.premierleague.com/players/4495/Andreas-Christensen/overview,Andreas Christensen,2021/22,Defender,Denmark
171,https://www.premierleague.com/players/64522/Christian-Marques/overview,Christian Marques,2021/22,Defender,Portugal
172,https://www.premierleague.com/players/64140/Carney-Chukwuemeka/overview,Carney Chukwuemeka,2021/22,Midfielder,England
173,https://www.premierleague.com/players/51609/Dennis-Cirkin/overview,Dennis Cirkin,2021/22,Defender,England
174,https://www.premierleague.com/players/51690/CJ-Egan-Riley/overview,CJ Egan-Riley,2021/22,Defender,England
175,https://www.premierleague.com/players/3562/Ciaran-Clark/overview,Ciaran Clark,2021/22,Defender,Ireland
176,https://www.premierleague.com/players/19877/Harry-Clarke/overview,Harry Clarke,2021/22,Defender,England
177,https://www.premierleague.com/players/11146/Jake-Clarke-Salter/overview,Jake Clarke-Salter,2021/22,Defender,England
178,https://www.premierleague.com/players/33335/Leighton-Clarkson/overview,Leighton Clarkson,2021/22,Midfielder,England
179,https://www.premierleague.com/players/3448/Tom-Cleverley/overview,Tom Cleverley,2021/22,Midfielder,England
180,https://www.premierleague.com/players/4604/Nathaniel-Clyne/overview,Nathaniel Clyne,2021/22,Defender,England
181,https://www.premierleague.com/players/4136/Conor-Coady/overview,Conor Coady,2021/22,Defender,England
182,https://www.premierleague.com/players/14559/Alex-Cochrane/overview,Alex Cochrane,2021/22,Defender,England
183,https://www.premierleague.com/players/3600/S%C3%A9amus-Coleman/overview,Séamus Coleman,2021/22,Defender,Ireland
184,https://www.premierleague.com/players/24659/Nathan-Collins/overview,Nathan Collins,2021/22,Defender,Ireland
185,https://www.premierleague.com/players/21653/Aaron-Connolly/overview,Aaron Connolly,2021/22,Forward,Ireland
186,https://www.premierleague.com/players/69507/Kamil-Conteh/overview,Kamil Conteh,2021/22,Midfielder,England
187,https://www.premierleague.com/players/3622/Liam-Cooper/overview,Liam Cooper,2021/22,Defender,Scotland
188,https://www.premierleague.com/players/53182/Theo-Corbeanu/overview,Theo Corbeanu,2021/22,Forward,Canada
189,https://www.premierleague.com/players/2889/Jack-Cork/overview,Jack Cork,2021/22,Midfielder,England
190,https://www.premierleague.com/players/16758/Maxwel-Cornet/overview,Maxwel Cornet,2021/22,Midfielder,Cote D’Ivoire
191,https://www.premierleague.com/players/49256/Ben-Cottrell/overview,Ben Cottrell,2021/22,Midfielder,England
192,https://www.premierleague.com/players/7336/Vladimir-Coufal/overview,Vladimir Coufal,2021/22,Defender,Czech Republic
193,https://www.premierleague.com/players/15211/Conor-Coventry/overview,Conor Coventry,2021/22,Midfielder,Ireland
194,https://www.premierleague.com/players/98258/Matthew-Cox/overview,Matthew Cox,2021/22,Goalkeeper,England
195,https://www.premierleague.com/players/69286/Charlie-Cresswell/overview,Charlie Cresswell,2021/22,Defender,England
196,https://www.premierleague.com/players/51245/Kane-Crichlow/overview,Kane Crichlow,2021/22,Midfielder,Bermuda
197,https://www.premierleague.com/players/2522/Cristiano-Ronaldo/overview,Cristiano Ronaldo,2021/22,Forward,Portugal
198,https://www.premierleague.com/players/31905/Cucho-Hern%C3%A1ndez/overview,Cucho Hernández,2021/22,Forward,Colombia
199,https://www.premierleague.com/players/27277/Marc-Cucurella/overview,Marc Cucurella,2021/22,Defender,Spain
200,https://www.premierleague.com/players/14565/Jamie-Cumming/overview,Jamie Cumming,2021/22,Goalkeeper,England
201,https://www.premierleague.com/players/23989/Luke-Cundle/overview,Luke Cundle,2021/22,Midfielder,England
202,https://www.premierleague.com/players/22870/Patrick-Cutrone/overview,Patrick Cutrone,2021/22,Forward,Italy
203,https://www.premierleague.com/players/33158/Pontus-Dahlberg/overview,Pontus Dahlberg,2021/22,Goalkeeper,Sweden
204,https://www.premierleague.com/players/24994/Patson-Daka/overview,Patson Daka,2021/22,Forward,Zambia
205,https://www.premierleague.com/players/20722/Sam-Dalby/overview,Sam Dalby,2021/22,Forward,England
206,https://www.premierleague.com/players/19868/Vontae-Daley-Campbell/overview,Vontae Daley-Campbell,2021/22,Defender,England
207,https://www.premierleague.com/players/8148/Stuart-Dallas/overview,Stuart Dallas,2021/22,Midfielder,Northern Ireland
208,https://www.premierleague.com/players/12005/Henrik-Dalsgaard/overview,Henrik Dalsgaard,2021/22,Defender,Denmark
209,https://www.premierleague.com/players/11362/Daniel-Podence/overview,Daniel Podence,2021/22,Midfielder,Portugal
210,https://www.premierleague.com/players/2817/Luke-Daniels/overview,Luke Daniels,2021/22,Goalkeeper,England
211,https://www.premierleague.com/players/3807/Scott-Dann/overview,Scott Dann,2021/22,Defender,England
212,https://www.premierleague.com/players/9251/Karl-Darlow/overview,Karl Darlow,2021/22,Goalkeeper,England
213,https://www.premierleague.com/players/14457/Josh-Dasilva/overview,Josh Dasilva,2021/22,Midfielder,England
214,https://www.premierleague.com/players/4100/David-Luiz/overview,David Luiz,2021/22,Defender,Brazil
215,https://www.premierleague.com/players/13389/Tom-Davies/overview,Tom Davies,2021/22,Midfielder,England
216,https://www.premierleague.com/players/13130/Keinan-Davis/overview,Keinan Davis,2021/22,Forward,England
217,https://www.premierleague.com/players/4198/Craig-Dawson/overview,Craig Dawson,2021/22,Defender,England
218,https://www.premierleague.com/players/12198/Laurens-De-Bock/overview,Laurens De Bock,2021/22,Defender,Belgium
219,https://www.premierleague.com/players/53177/Lucas-De-Bolle/overview,Lucas De Bolle,2021/22,Midfielder,Scotland
220,https://www.premierleague.com/players/4288/Kevin-De-Bruyne/overview,Kevin De Bruyne,2021/22,Midfielder,Belgium
221,https://www.premierleague.com/players/4330/David-de-Gea/overview,David de Gea,2021/22,Goalkeeper,Spain
222,https://www.premierleague.com/players/9947/Troy-Deeney/overview,Troy Deeney,2021/22,Forward,England
223,https://www.premierleague.com/players/51813/Liam-Delap/overview,Liam Delap,2021/22,Forward,England
224,https://www.premierleague.com/players/3799/Fabian-Delph/overview,Fabian Delph,2021/22,Midfielder,England
225,https://www.premierleague.com/players/67927/Lars-Dendoncker/overview,Lars Dendoncker,2021/22,Defender,Belgium
226,https://www.premierleague.com/players/20701/Emmanuel-Dennis/overview,Emmanuel Dennis,2021/22,Forward,Nigeria
227,https://www.premierleague.com/players/49461/Halil-Dervisoglu/overview,Halil Dervisoglu,2021/22,Forward,Turkey
228,https://www.premierleague.com/players/77990/Alfie-Devine/overview,Alfie Devine,2021/22,Midfielder,England
229,https://www.premierleague.com/players/14706/Kiernan-Dewsbury-Hall/overview,Kiernan Dewsbury-Hall,2021/22,Midfielder,England
230,https://www.premierleague.com/players/69176/Amad-Diallo/overview,Amad Diallo,2021/22,Forward,Cote D’Ivoire
231,https://www.premierleague.com/players/66669/Luis-D%C3%ADaz/overview,Luis Díaz,2021/22,Forward,Colombia
232,https://www.premierleague.com/players/33345/Thomas-Dickson-Peters/overview,Thomas Dickson-Peters,2021/22,Forward,Scotland
233,https://www.premierleague.com/players/4112/Eric-Dier/overview,Eric Dier,2021/22,Defender,England
234,https://www.premierleague.com/players/5758/Lucas-Digne/overview,Lucas Digne,2021/22,Defender,France
235,https://www.premierleague.com/players/24252/Diogo-Dalot/overview,Diogo Dalot,2021/22,Defender,Portugal
236,https://www.premierleague.com/players/19758/Diogo-Jota/overview,Diogo Jota,2021/22,Forward,Portugal
237,https://www.premierleague.com/players/49884/Issa-Diop/overview,Issa Diop,2021/22,Defender,France
238,https://www.premierleague.com/players/24231/Elijah-Dixon-Bonner/overview,Elijah Dixon-Bonner,2021/22,Midfielder,England
239,https://www.premierleague.com/players/52153/Moussa-Djenepo/overview,Moussa Djenepo,2021/22,Midfielder,Mali
240,https://www.premierleague.com/players/51511/Lewis-Dobbin/overview,Lewis Dobbin,2021/22,Forward,England
241,https://www.premierleague.com/players/66524/Owen-Dodgson/overview,Owen Dodgson,2021/22,Defender,England
242,https://www.premierleague.com/players/4229/Matt-Doherty/overview,Matt Doherty,2021/22,Defender,Ireland
243,https://www.premierleague.com/players/19678/Domingos-Quina/overview,Domingos Quina,2021/22,Midfielder,Portugal
244,https://www.premierleague.com/players/13823/Abdoulaye-Doucour%C3%A9/overview,Abdoulaye Doucouré,2021/22,Midfielder,Mali
245,https://www.premierleague.com/players/24626/Douglas-Luiz/overview,Douglas Luiz,2021/22,Midfielder,Brazil
246,https://www.premierleague.com/players/10455/Kieran-Dowell/overview,Kieran Dowell,2021/22,Midfielder,England
247,https://www.premierleague.com/players/24637/Tommy-Doyle/overview,Tommy Doyle,2021/22,Midfielder,England
248,https://www.premierleague.com/players/24811/Cody-Drameh/overview,Cody Drameh,2021/22,Defender,England
249,https://www.premierleague.com/players/3670/Danny-Drinkwater/overview,Danny Drinkwater,2021/22,Midfielder,England
250,https://www.premierleague.com/players/23810/Anthony-Driscoll-Glennon/overview,Anthony Driscoll-Glennon,2021/22,Defender,England
251,https://www.premierleague.com/players/6451/Martin-D%C3%BAbravka/overview,Martin Dúbravka,2021/22,Goalkeeper,Slovakia
252,https://www.premierleague.com/players/3601/Shane-Duffy/overview,Shane Duffy,2021/22,Defender,Ireland
